file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv
0000000001.bmp,12,4,1,1,0,0,0,0
0000000002.bmp,9,3,1,1,0,0,0,0
0000000003.bmp,19,2,1,1,0,0,0,0
0000000004.bmp,17,1,1,1,0,0,0,0
0000000005.bmp,7,11,1,1,0,0,0,0
0000000006.bmp,3,10,1,1,0,0,0,0
0000000007.bmp,1,9,1,1,0,0,0,0
0000000008.bmp,5,8,1,1,0,0,0,0
0000000009.bmp,13,7,1,1,0,0,0,0
0000000010.bmp,15,6,1,1,0,0,0,0
0000000011.bmp,11,5,1,1,0,0,0,0
0000000012.bmp,8,12,1,1,0,0,0,0
0000000013.bmp,12,4,1,1,0,0,0,0
0000000014.bmp,9,3,1,1,0,0,0,0
0000000015.bmp,19,2,1,1,0,0,0,0
0000000016.bmp,17,1,1,1,0,0,0,0
0000000017.bmp,7,11,1,1,0,0,0,0
0000000018.bmp,3,10,1,1,0,0,0,0
0000000019.bmp,1,9,1,1,0,0,0,0
0000000020.bmp,5,8,1,1,0,0,0,0
0000000021.bmp,13,7,1,1,0,0,0,0
0000000022.bmp,15,6,1,1,0,0,0,0
0000000023.bmp,11,5,1,1,0,0,0,0
0000000024.bmp,8,12,1,1,0,0,0,0
0000000025.bmp,12,4,1,1,0,0,0,0
0000000026.bmp,9,3,1,1,0,0,0,0
0000000027.bmp,19,2,1,1,0,0,0,0
0000000028.bmp,17,1,1,1,0,0,0,0
0000000029.bmp,7,11,1,1,0,0,0,0
0000000030.bmp,3,10,1,1,0,0,0,0
0000000031.bmp,1,9,1,1,0,0,0,0
0000000032.bmp,5,8,1,1,0,0,0,0
0000000033.bmp,13,7,1,1,0,0,0,0
0000000034.bmp,15,6,1,1,0,0,0,0
0000000035.bmp,11,5,1,1,0,0,0,0
0000000036.bmp,8,12,1,1,0,0,0,0
0000000037.bmp,12,4,2,1,0,0,0,0
0000000038.bmp,3,3,2,1,0,0,0,0
0000000039.bmp,5,2,2,1,0,0,0,0
0000000040.bmp,9,1,2,1,0,0,0,0
0000000041.bmp,1,11,2,1,0,0,0,0
0000000042.bmp,11,10,2,1,0,0,0,0
0000000043.bmp,8,9,2,1,0,0,0,0
0000000044.bmp,17,8,2,1,0,0,0,0
0000000045.bmp,13,7,2,1,0,0,0,0
0000000046.bmp,19,6,2,1,0,0,0,0
0000000047.bmp,15,5,2,1,0,0,0,0
0000000048.bmp,7,12,2,1,0,0,0,0
0000000049.bmp,12,4,2,1,0,0,0,0
0000000050.bmp,3,3,2,1,0,0,0,0
0000000051.bmp,5,2,2,1,0,0,0,0
0000000052.bmp,9,1,2,1,0,0,0,0
0000000053.bmp,1,11,2,1,0,0,0,0
0000000054.bmp,11,10,2,1,0,0,0,0
0000000055.bmp,8,9,2,1,0,0,0,0
0000000056.bmp,17,8,2,1,0,0,0,0
0000000057.bmp,13,7,2,1,0,0,0,0
0000000058.bmp,19,6,2,1,0,0,0,0
0000000059.bmp,15,5,2,1,0,0,0,0
0000000060.bmp,7,12,2,1,0,0,0,0
0000000061.bmp,12,4,2,1,0,0,0,0
0000000062.bmp,3,3,2,1,0,0,0,0
0000000063.bmp,5,2,2,1,0,0,0,0
0000000064.bmp,9,1,2,1,0,0,0,0
0000000065.bmp,1,11,2,1,0,0,0,0
0000000066.bmp,11,10,2,1,0,0,0,0
0000000067.bmp,8,9,2,1,0,0,0,0
0000000068.bmp,17,8,2,1,0,0,0,0
0000000069.bmp,13,7,2,1,0,0,0,0
0000000070.bmp,19,6,2,1,0,0,0,0
0000000071.bmp,15,5,2,1,0,0,0,0
0000000072.bmp,7,12,2,1,0,0,0,0
0000000073.bmp,1,4,3,1,0,0,0,0
0000000074.bmp,13,3,3,1,0,0,0,0
0000000075.bmp,17,2,3,1,0,0,0,0
0000000076.bmp,12,1,3,1,0,0,0,0
0000000077.bmp,15,11,3,1,0,0,0,0
0000000078.bmp,7,10,3,1,0,0,0,0
0000000079.bmp,5,9,3,1,0,0,0,0
0000000080.bmp,8,8,3,1,0,0,0,0
0000000081.bmp,19,7,3,1,0,0,0,0
0000000082.bmp,3,6,3,1,0,0,0,0
0000000083.bmp,11,5,3,1,0,0,0,0
0000000084.bmp,9,12,3,1,0,0,0,0
0000000085.bmp,1,4,3,1,0,0,0,0
0000000086.bmp,13,3,3,1,0,0,0,0
0000000087.bmp,17,2,3,1,0,0,0,0
0000000088.bmp,12,1,3,1,0,0,0,0
0000000089.bmp,15,11,3,1,0,0,0,0
0000000090.bmp,7,10,3,1,0,0,0,0
0000000091.bmp,5,9,3,1,0,0,0,0
0000000092.bmp,8,8,3,1,0,0,0,0
0000000093.bmp,19,7,3,1,0,0,0,0
0000000094.bmp,3,6,3,1,0,0,0,0
0000000095.bmp,11,5,3,1,0,0,0,0
0000000096.bmp,9,12,3,1,0,0,0,0
0000000097.bmp,1,4,3,1,0,0,0,0
0000000098.bmp,13,3,3,1,0,0,0,0
0000000099.bmp,17,2,3,1,0,0,0,0
0000000100.bmp,12,1,3,1,0,0,0,0
0000000101.bmp,15,11,3,1,0,0,0,0
0000000102.bmp,7,10,3,1,0,0,0,0
0000000103.bmp,5,9,3,1,0,0,0,0
0000000104.bmp,8,8,3,1,0,0,0,0
0000000105.bmp,19,7,3,1,0,0,0,0
0000000106.bmp,3,6,3,1,0,0,0,0
0000000107.bmp,11,5,3,1,0,0,0,0
0000000108.bmp,9,12,3,1,0,0,0,0
0000000109.bmp,8,4,4,1,0,0,0,0
0000000110.bmp,11,3,4,1,0,0,0,0
0000000111.bmp,15,2,4,1,0,0,0,0
0000000112.bmp,13,1,4,1,0,0,0,0
0000000113.bmp,12,11,4,1,0,0,0,0
0000000114.bmp,19,10,4,1,0,0,0,0
0000000115.bmp,3,9,4,1,0,0,0,0
0000000116.bmp,9,8,4,1,0,0,0,0
0000000117.bmp,1,7,4,1,0,0,0,0
0000000118.bmp,17,6,4,1,0,0,0,0
0000000119.bmp,7,5,4,1,0,0,0,0
0000000120.bmp,5,12,4,1,0,0,0,0
0000000121.bmp,8,4,4,1,0,0,0,0
0000000122.bmp,11,3,4,1,0,0,0,0
0000000123.bmp,15,2,4,1,0,0,0,0
0000000124.bmp,13,1,4,1,0,0,0,0
0000000125.bmp,12,11,4,1,0,0,0,0
0000000126.bmp,19,10,4,1,0,0,0,0
0000000127.bmp,3,9,4,1,0,0,0,0
0000000128.bmp,9,8,4,1,0,0,0,0
0000000129.bmp,1,7,4,1,0,0,0,0
0000000130.bmp,17,6,4,1,0,0,0,0
0000000131.bmp,7,5,4,1,0,0,0,0
0000000132.bmp,5,12,4,1,0,0,0,0
0000000133.bmp,8,4,4,1,0,0,0,0
0000000134.bmp,11,3,4,1,0,0,0,0
0000000135.bmp,15,2,4,1,0,0,0,0
0000000136.bmp,13,1,4,1,0,0,0,0
0000000137.bmp,12,11,4,1,0,0,0,0
