Condition,Frequency,Block,TimingFile,TaskObject1,TaskObject2,TaskObject3,Position
1,1,1,FAC2_touch_v0,200,"pic(big04x1.5_12,-10,0)","pic(s04_128_14,10,0)",left
2,1,1,FAC2_touch_v0,200,"pic(big03x1.5_13,-10,0)","pic(s03_128_09,10,0)",left
3,1,1,FAC2_touch_v0,200,"pic(big01x1.5_02,-10,0)","pic(s01_128_11,10,0)",left
4,1,1,FAC2_touch_v0,200,"pic(big02x1.5_16,10,0)","pic(s02_128_15,-10,0)",right
5,1,1,FAC2_touch_v0,200,"pic(big04x1.5_03,10,0)","pic(s04_128_13,-10,0)",right
6,1,1,FAC2_touch_v0,200,"pic(big02x1.5_02,10,0)","pic(s02_128_12,-10,0)",right
7,1,1,FAC2_touch_v0,200,"pic(big03x1.5_05,-10,0)","pic(s03_128_12,10,0)",left
8,1,1,FAC2_touch_v0,200,"pic(big01x1.5_12,10,0)","pic(s01_128_11,-10,0)",right
9,1,1,FAC2_touch_v0,200,"pic(big04x1.5_13,-10,0)","pic(s04_128_02,10,0)",left
10,1,1,FAC2_touch_v0,200,"pic(big03x1.5_05,10,0)","pic(s03_128_13,-10,0)",right
11,1,1,FAC2_touch_v0,200,"pic(big01x1.5_14,-10,0)","pic(s01_128_14,10,0)",left
12,1,1,FAC2_touch_v0,200,"pic(big02x1.5_10,-10,0)","pic(s02_128_15,10,0)",left
13,1,1,FAC2_touch_v0,200,"pic(big02x1.5_13,10,0)","pic(s02_128_12,-10,0)",right
14,1,1,FAC2_touch_v0,200,"pic(big03x1.5_15,-10,0)","pic(s03_128_04,10,0)",left
15,1,1,FAC2_touch_v0,200,"pic(big04x1.5_09,-10,0)","pic(s04_128_06,10,0)",left
16,1,1,FAC2_touch_v0,200,"pic(big01x1.5_16,10,0)","pic(s01_128_07,-10,0)",right
17,1,1,FAC2_touch_v0,200,"pic(big02x1.5_11,-10,0)","pic(s02_128_01,10,0)",left
18,1,1,FAC2_touch_v0,200,"pic(big04x1.5_04,10,0)","pic(s04_128_01,-10,0)",right
19,1,1,FAC2_touch_v0,200,"pic(big03x1.5_16,-10,0)","pic(s03_128_11,10,0)",left
20,1,1,FAC2_touch_v0,200,"pic(big01x1.5_12,-10,0)","pic(s01_128_05,10,0)",left
21,1,1,FAC2_touch_v0,200,"pic(big03x1.5_14,10,0)","pic(s03_128_09,-10,0)",right
22,1,1,FAC2_touch_v0,200,"pic(big02x1.5_05,-10,0)","pic(s02_128_05,10,0)",left
23,1,1,FAC2_touch_v0,200,"pic(big04x1.5_05,-10,0)","pic(s04_128_13,10,0)",left
24,1,1,FAC2_touch_v0,200,"pic(big01x1.5_05,10,0)","pic(s01_128_06,-10,0)",right
25,1,1,FAC2_touch_v0,200,"pic(big03x1.5_01,-10,0)","pic(s03_128_10,10,0)",left
26,1,1,FAC2_touch_v0,200,"pic(big02x1.5_14,-10,0)","pic(s02_128_11,10,0)",left
27,1,1,FAC2_touch_v0,200,"pic(big04x1.5_01,10,0)","pic(s04_128_03,-10,0)",right
28,1,1,FAC2_touch_v0,200,"pic(big01x1.5_10,-10,0)","pic(s01_128_13,10,0)",left
29,1,1,FAC2_touch_v0,200,"pic(big02x1.5_04,10,0)","pic(s02_128_10,-10,0)",right
30,1,1,FAC2_touch_v0,200,"pic(big04x1.5_13,10,0)","pic(s04_128_11,-10,0)",right
31,1,1,FAC2_touch_v0,200,"pic(big03x1.5_07,-10,0)","pic(s03_128_04,10,0)",left
32,1,1,FAC2_touch_v0,200,"pic(big01x1.5_08,10,0)","pic(s01_128_08,-10,0)",right
33,1,1,FAC2_touch_v0,200,"pic(big04x1.5_05,10,0)","pic(s04_128_05,-10,0)",right
34,1,1,FAC2_touch_v0,200,"pic(big03x1.5_11,10,0)","pic(s03_128_02,-10,0)",right
35,1,1,FAC2_touch_v0,200,"pic(big01x1.5_05,-10,0)","pic(s01_128_13,10,0)",left
36,1,1,FAC2_touch_v0,200,"pic(big02x1.5_07,10,0)","pic(s02_128_16,-10,0)",right
37,1,1,FAC2_touch_v0,200,"pic(big03x1.5_06,10,0)","pic(s03_128_07,-10,0)",right
38,1,1,FAC2_touch_v0,200,"pic(big02x1.5_04,-10,0)","pic(s02_128_03,10,0)",left
39,1,1,FAC2_touch_v0,200,"pic(big01x1.5_13,-10,0)","pic(s01_128_01,10,0)",left
40,1,1,FAC2_touch_v0,200,"pic(big04x1.5_15,-10,0)","pic(s04_128_12,10,0)",left
41,1,1,FAC2_touch_v0,200,"pic(big01x1.5_16,-10,0)","pic(s01_128_08,10,0)",left
42,1,1,FAC2_touch_v0,200,"pic(big03x1.5_16,10,0)","pic(s03_128_12,-10,0)",right
43,1,1,FAC2_touch_v0,200,"pic(big04x1.5_09,10,0)","pic(s04_128_09,-10,0)",right
44,1,1,FAC2_touch_v0,200,"pic(big02x1.5_09,-10,0)","pic(s02_128_07,10,0)",left
45,1,1,FAC2_touch_v0,200,"pic(big03x1.5_15,10,0)","pic(s03_128_06,-10,0)",right
46,1,1,FAC2_touch_v0,200,"pic(big02x1.5_03,10,0)","pic(s02_128_08,-10,0)",right
47,1,1,FAC2_touch_v0,200,"pic(big01x1.5_13,10,0)","pic(s01_128_12,-10,0)",right
48,1,1,FAC2_touch_v0,200,"pic(big04x1.5_14,-10,0)","pic(s04_128_11,10,0)",left
49,1,1,FAC2_touch_v0,200,"pic(big03x1.5_10,10,0)","pic(s03_128_15,-10,0)",right
50,1,1,FAC2_touch_v0,200,"pic(big02x1.5_06,10,0)","pic(s02_128_01,-10,0)",right
51,1,1,FAC2_touch_v0,200,"pic(big04x1.5_11,10,0)","pic(s04_128_07,-10,0)",right
52,1,1,FAC2_touch_v0,200,"pic(big01x1.5_07,-10,0)","pic(s01_128_02,10,0)",left
53,1,1,FAC2_touch_v0,200,"pic(big01x1.5_14,10,0)","pic(s01_128_02,-10,0)",right
54,1,1,FAC2_touch_v0,200,"pic(big03x1.5_09,-10,0)","pic(s03_128_16,10,0)",left
55,1,1,FAC2_touch_v0,200,"pic(big02x1.5_09,-10,0)","pic(s02_128_08,10,0)",left
56,1,1,FAC2_touch_v0,200,"pic(big04x1.5_15,10,0)","pic(s04_128_15,-10,0)",right
57,1,1,FAC2_touch_v0,200,"pic(big01x1.5_01,10,0)","pic(s01_128_14,-10,0)",right
58,1,1,FAC2_touch_v0,200,"pic(big03x1.5_10,-10,0)","pic(s03_128_02,10,0)",left
59,1,1,FAC2_touch_v0,200,"pic(big02x1.5_12,10,0)","pic(s02_128_06,-10,0)",right
60,1,1,FAC2_touch_v0,200,"pic(big04x1.5_16,-10,0)","pic(s04_128_08,10,0)",left
61,1,1,FAC2_touch_v0,200,"pic(big03x1.5_11,-10,0)","pic(s03_128_01,10,0)",left
62,1,1,FAC2_touch_v0,200,"pic(big02x1.5_03,10,0)","pic(s02_128_07,-10,0)",right
63,1,1,FAC2_touch_v0,200,"pic(big04x1.5_01,-10,0)","pic(s04_128_05,10,0)",left
64,1,1,FAC2_touch_v0,200,"pic(big01x1.5_01,-10,0)","pic(s01_128_16,10,0)",left
65,1,1,FAC2_touch_v0,200,"pic(big04x1.5_10,-10,0)","pic(s04_128_03,10,0)",left
66,1,1,FAC2_touch_v0,200,"pic(big01x1.5_15,10,0)","pic(s01_128_15,-10,0)",right
67,1,1,FAC2_touch_v0,200,"pic(big03x1.5_12,-10,0)","pic(s03_128_05,10,0)",left
68,1,1,FAC2_touch_v0,200,"pic(big02x1.5_08,-10,0)","pic(s02_128_16,10,0)",left
69,1,1,FAC2_touch_v0,200,"pic(big04x1.5_07,-10,0)","pic(s04_128_07,10,0)",left
70,1,1,FAC2_touch_v0,200,"pic(big03x1.5_04,10,0)","pic(s03_128_08,-10,0)",right
71,1,1,FAC2_touch_v0,200,"pic(big02x1.5_15,10,0)","pic(s02_128_02,-10,0)",right
72,1,1,FAC2_touch_v0,200,"pic(big01x1.5_04,10,0)","pic(s01_128_05,-10,0)",right
73,1,1,FAC2_touch_v0,200,"pic(big04x1.5_10,10,0)","pic(s04_128_10,-10,0)",right
74,1,1,FAC2_touch_v0,200,"pic(big03x1.5_06,-10,0)","pic(s03_128_14,10,0)",left
75,1,1,FAC2_touch_v0,200,"pic(big01x1.5_11,-10,0)","pic(s01_128_15,10,0)",left
76,1,1,FAC2_touch_v0,200,"pic(big02x1.5_06,-10,0)","pic(s02_128_14,10,0)",left
77,1,1,FAC2_touch_v0,200,"pic(big01x1.5_06,10,0)","pic(s01_128_10,-10,0)",right
78,1,1,FAC2_touch_v0,200,"pic(big03x1.5_13,10,0)","pic(s03_128_14,-10,0)",right
79,1,1,FAC2_touch_v0,200,"pic(big04x1.5_06,-10,0)","pic(s04_128_09,10,0)",left
80,1,1,FAC2_touch_v0,200,"pic(big02x1.5_08,10,0)","pic(s02_128_09,-10,0)",right
81,1,1,FAC2_touch_v0,200,"pic(big03x1.5_07,-10,0)","pic(s03_128_03,10,0)",left
82,1,1,FAC2_touch_v0,200,"pic(big02x1.5_11,10,0)","pic(s02_128_14,-10,0)",right
83,1,1,FAC2_touch_v0,200,"pic(big01x1.5_15,-10,0)","pic(s01_128_09,10,0)",left
84,1,1,FAC2_touch_v0,200,"pic(big04x1.5_14,10,0)","pic(s04_128_06,-10,0)",right
85,1,1,FAC2_touch_v0,200,"pic(big03x1.5_08,10,0)","pic(s03_128_10,-10,0)",right
86,1,1,FAC2_touch_v0,200,"pic(big02x1.5_07,-10,0)","pic(s02_128_06,10,0)",left
87,1,1,FAC2_touch_v0,200,"pic(big01x1.5_11,10,0)","pic(s01_128_04,-10,0)",right
88,1,1,FAC2_touch_v0,200,"pic(big04x1.5_08,-10,0)","pic(s04_128_01,10,0)",left
89,1,1,FAC2_touch_v0,200,"pic(big03x1.5_02,-10,0)","pic(s03_128_13,10,0)",left
90,1,1,FAC2_touch_v0,200,"pic(big02x1.5_14,10,0)","pic(s02_128_04,-10,0)",right
91,1,1,FAC2_touch_v0,200,"pic(big01x1.5_09,10,0)","pic(s01_128_03,-10,0)",right
92,1,1,FAC2_touch_v0,200,"pic(big04x1.5_08,10,0)","pic(s04_128_14,-10,0)",right
93,1,1,FAC2_touch_v0,200,"pic(big03x1.5_03,-10,0)","pic(s03_128_06,10,0)",left
94,1,1,FAC2_touch_v0,200,"pic(big04x1.5_03,-10,0)","pic(s04_128_16,10,0)",left
95,1,1,FAC2_touch_v0,200,"pic(big02x1.5_10,10,0)","pic(s02_128_03,-10,0)",right
96,1,1,FAC2_touch_v0,200,"pic(big01x1.5_03,-10,0)","pic(s01_128_04,10,0)",left
97,1,1,FAC2_touch_v0,200,"pic(big01x1.5_08,-10,0)","pic(s01_128_03,10,0)",left
98,1,1,FAC2_touch_v0,200,"pic(big03x1.5_01,10,0)","pic(s03_128_11,-10,0)",right
99,1,1,FAC2_touch_v0,200,"pic(big02x1.5_05,10,0)","pic(s02_128_13,-10,0)",right
100,1,1,FAC2_touch_v0,200,"pic(big04x1.5_02,-10,0)","pic(s04_128_10,10,0)",left
101,1,1,FAC2_touch_v0,200,"pic(big04x1.5_07,10,0)","pic(s04_128_04,-10,0)",right
102,1,1,FAC2_touch_v0,200,"pic(big03x1.5_04,-10,0)","pic(s03_128_08,10,0)",left
103,1,1,FAC2_touch_v0,200,"pic(big02x1.5_16,-10,0)","pic(s02_128_04,10,0)",left
104,1,1,FAC2_touch_v0,200,"pic(big01x1.5_04,-10,0)","pic(s01_128_10,10,0)",left
105,1,1,FAC2_touch_v0,200,"pic(big03x1.5_08,-10,0)","pic(s03_128_15,10,0)",left
106,1,1,FAC2_touch_v0,200,"pic(big04x1.5_06,10,0)","pic(s04_128_02,-10,0)",right
107,1,1,FAC2_touch_v0,200,"pic(big01x1.5_02,10,0)","pic(s01_128_06,-10,0)",right
108,1,1,FAC2_touch_v0,200,"pic(big02x1.5_13,10,0)","pic(s02_128_05,-10,0)",right
109,1,1,FAC2_touch_v0,200,"pic(big01x1.5_07,10,0)","pic(s01_128_16,-10,0)",right
110,1,1,FAC2_touch_v0,200,"pic(big02x1.5_02,-10,0)","pic(s02_128_09,10,0)",left
111,1,1,FAC2_touch_v0,200,"pic(big03x1.5_03,10,0)","pic(s03_128_05,-10,0)",right
112,1,1,FAC2_touch_v0,200,"pic(big04x1.5_11,-10,0)","pic(s04_128_15,10,0)",left
113,1,1,FAC2_touch_v0,200,"pic(big02x1.5_15,-10,0)","pic(s02_128_13,10,0)",left
114,1,1,FAC2_touch_v0,200,"pic(big01x1.5_09,-10,0)","pic(s01_128_07,10,0)",left
115,1,1,FAC2_touch_v0,200,"pic(big03x1.5_09,10,0)","pic(s03_128_16,-10,0)",right
116,1,1,FAC2_touch_v0,200,"pic(big04x1.5_12,10,0)","pic(s04_128_08,-10,0)",right
117,1,1,FAC2_touch_v0,200,"pic(big02x1.5_01,-10,0)","pic(s02_128_10,10,0)",left
118,1,1,FAC2_touch_v0,200,"pic(big01x1.5_03,10,0)","pic(s01_128_09,-10,0)",right
119,1,1,FAC2_touch_v0,200,"pic(big03x1.5_14,-10,0)","pic(s03_128_07,10,0)",left
120,1,1,FAC2_touch_v0,200,"pic(big04x1.5_16,10,0)","pic(s04_128_12,-10,0)",right
121,1,1,FAC2_touch_v0,200,"pic(big01x1.5_10,10,0)","pic(s01_128_01,-10,0)",right
122,1,1,FAC2_touch_v0,200,"pic(big02x1.5_01,-10,0)","pic(s02_128_11,10,0)",left
123,1,1,FAC2_touch_v0,200,"pic(big03x1.5_02,10,0)","pic(s03_128_03,-10,0)",right
124,1,1,FAC2_touch_v0,200,"pic(big04x1.5_02,10,0)","pic(s04_128_16,-10,0)",right
125,1,1,FAC2_touch_v0,200,"pic(big04x1.5_04,-10,0)","pic(s04_128_04,10,0)",left
126,1,1,FAC2_touch_v0,200,"pic(big02x1.5_12,-10,0)","pic(s02_128_02,10,0)",left
127,1,1,FAC2_touch_v0,200,"pic(big01x1.5_06,-10,0)","pic(s01_128_12,10,0)",left
128,1,1,FAC2_touch_v0,200,"pic(big03x1.5_12,10,0)","pic(s03_128_01,-10,0)",right
129,1,2,FAC2_touch_v0,200,"pic(big01x1.4_13,-10,0)","pic(s01_128_16,10,0)",left
130,1,2,FAC2_touch_v0,200,"pic(big04x1.4_02,-10,0)","pic(s04_128_07,10,0)",left
131,1,2,FAC2_touch_v0,200,"pic(big02x1.4_14,-10,0)","pic(s02_128_02,10,0)",left
132,1,2,FAC2_touch_v0,200,"pic(big03x1.4_12,-10,0)","pic(s03_128_08,10,0)",left
133,1,2,FAC2_touch_v0,200,"pic(big02x1.4_16,10,0)","pic(s02_128_14,-10,0)",right
134,1,2,FAC2_touch_v0,200,"pic(big04x1.4_12,-10,0)","pic(s04_128_05,10,0)",left
135,1,2,FAC2_touch_v0,200,"pic(big03x1.4_02,10,0)","pic(s03_128_04,-10,0)",right
136,1,2,FAC2_touch_v0,200,"pic(big01x1.4_15,10,0)","pic(s01_128_16,-10,0)",right
137,1,2,FAC2_touch_v0,200,"pic(big01x1.4_10,10,0)","pic(s01_128_06,-10,0)",right
138,1,2,FAC2_touch_v0,200,"pic(big04x1.4_03,10,0)","pic(s04_128_04,-10,0)",right
139,1,2,FAC2_touch_v0,200,"pic(big03x1.4_16,-10,0)","pic(s03_128_05,10,0)",left
140,1,2,FAC2_touch_v0,200,"pic(big02x1.4_16,-10,0)","pic(s02_128_10,10,0)",left
141,1,2,FAC2_touch_v0,200,"pic(big04x1.4_05,-10,0)","pic(s04_128_08,10,0)",left
142,1,2,FAC2_touch_v0,200,"pic(big02x1.4_02,10,0)","pic(s02_128_06,-10,0)",right
143,1,2,FAC2_touch_v0,200,"pic(big03x1.4_01,10,0)","pic(s03_128_02,-10,0)",right
144,1,2,FAC2_touch_v0,200,"pic(big01x1.4_04,10,0)","pic(s01_128_08,-10,0)",right
145,1,2,FAC2_touch_v0,200,"pic(big01x1.4_08,10,0)","pic(s01_128_12,-10,0)",right
146,1,2,FAC2_touch_v0,200,"pic(big04x1.4_08,-10,0)","pic(s04_128_14,10,0)",left
147,1,2,FAC2_touch_v0,200,"pic(big03x1.4_07,10,0)","pic(s03_128_06,-10,0)",right
148,1,2,FAC2_touch_v0,200,"pic(big02x1.4_04,10,0)","pic(s02_128_03,-10,0)",right
149,1,2,FAC2_touch_v0,200,"pic(big01x1.4_02,10,0)","pic(s01_128_03,-10,0)",right
150,1,2,FAC2_touch_v0,200,"pic(big02x1.4_08,-10,0)","pic(s02_128_06,10,0)",left
151,1,2,FAC2_touch_v0,200,"pic(big04x1.4_04,10,0)","pic(s04_128_11,-10,0)",right
152,1,2,FAC2_touch_v0,200,"pic(big03x1.4_06,10,0)","pic(s03_128_03,-10,0)",right
153,1,2,FAC2_touch_v0,200,"pic(big02x1.4_11,-10,0)","pic(s02_128_13,10,0)",left
154,1,2,FAC2_touch_v0,200,"pic(big04x1.4_11,-10,0)","pic(s04_128_03,10,0)",left
