file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv,index1
0000000001.bmp,1,0,1,0,0,0,1,0,1
0000000002.bmp,1,0,2,0,0,0,1,0,1
0000000003.bmp,1,0,3,0,0,0,1,0,1
0000000004.bmp,1,0,4,0,0,0,1,0,1
0000000005.bmp,1,0,5,0,0,0,1,0,1
0000000006.bmp,1,0,6,0,0,0,1,0,1
0000000007.bmp,2,0,1,0,0,0,1,0,1
0000000008.bmp,2,0,2,0,0,0,1,0,1
0000000009.bmp,2,0,3,0,0,0,1,0,1
0000000010.bmp,2,0,4,0,0,0,1,0,1
0000000011.bmp,2,0,5,0,0,0,1,0,1
0000000012.bmp,2,0,6,0,0,0,1,0,1
0000000013.bmp,3,0,1,0,0,0,1,0,1
0000000014.bmp,3,0,2,0,0,0,1,0,1
0000000015.bmp,3,0,3,0,0,0,1,0,1
0000000016.bmp,3,0,4,0,0,0,1,0,1
0000000017.bmp,3,0,5,0,0,0,1,0,1
0000000018.bmp,3,0,6,0,0,0,1,0,1
0000000019.bmp,4,0,1,0,0,0,1,0,1
0000000020.bmp,4,0,2,0,0,0,1,0,1
0000000021.bmp,4,0,3,0,0,0,1,0,1
0000000022.bmp,4,0,4,0,0,0,1,0,1
0000000023.bmp,4,0,5,0,0,0,1,0,1
0000000024.bmp,4,0,6,0,0,0,1,0,1
0000000025.bmp,5,0,1,0,0,0,1,0,1
0000000026.bmp,5,0,2,0,0,0,1,0,1
0000000027.bmp,5,0,3,0,0,0,1,0,1
0000000028.bmp,5,0,4,0,0,0,1,0,1
0000000029.bmp,5,0,5,0,0,0,1,0,1
0000000030.bmp,5,0,6,0,0,0,1,0,1
0000000031.bmp,6,0,1,0,0,0,1,0,1
0000000032.bmp,6,0,2,0,0,0,1,0,1
0000000033.bmp,6,0,3,0,0,0,1,0,1
0000000034.bmp,6,0,4,0,0,0,1,0,1
0000000035.bmp,6,0,5,0,0,0,1,0,1
0000000036.bmp,6,0,6,0,0,0,1,0,1
0000000037.bmp,7,0,1,0,0,0,1,0,1
0000000038.bmp,7,0,2,0,0,0,1,0,1
0000000039.bmp,7,0,3,0,0,0,1,0,1
0000000040.bmp,7,0,4,0,0,0,1,0,1
0000000041.bmp,7,0,5,0,0,0,1,0,1
0000000042.bmp,7,0,6,0,0,0,1,0,1
0000000043.bmp,8,0,1,0,0,0,1,0,1
0000000044.bmp,8,0,2,0,0,0,1,0,1
0000000045.bmp,8,0,3,0,0,0,1,0,1
0000000046.bmp,8,0,4,0,0,0,1,0,1
0000000047.bmp,8,0,5,0,0,0,1,0,1
0000000048.bmp,8,0,6,0,0,0,1,0,1
0000000049.bmp,9,0,1,0,0,0,1,0,1
0000000050.bmp,9,0,2,0,0,0,1,0,1
0000000051.bmp,9,0,3,0,0,0,1,0,1
0000000052.bmp,9,0,4,0,0,0,1,0,1
0000000053.bmp,9,0,5,0,0,0,1,0,1
0000000054.bmp,9,0,6,0,0,0,1,0,1
0000000055.bmp,10,0,1,0,0,0,1,0,1
0000000056.bmp,10,0,2,0,0,0,1,0,1
0000000057.bmp,10,0,3,0,0,0,1,0,1
0000000058.bmp,10,0,4,0,0,0,1,0,1
0000000059.bmp,10,0,5,0,0,0,1,0,1
0000000060.bmp,10,0,6,0,0,0,1,0,1
0000000061.bmp,11,0,1,0,0,0,1,0,1
0000000062.bmp,11,0,2,0,0,0,1,0,1
0000000063.bmp,11,0,3,0,0,0,1,0,1
0000000064.bmp,11,0,4,0,0,0,1,0,1
0000000065.bmp,11,0,5,0,0,0,1,0,1
0000000066.bmp,11,0,6,0,0,0,1,0,1
0000000067.bmp,12,0,1,0,0,0,1,0,1
0000000068.bmp,12,0,2,0,0,0,1,0,1
0000000069.bmp,12,0,3,0,0,0,1,0,1
0000000070.bmp,12,0,4,0,0,0,1,0,1
0000000071.bmp,12,0,5,0,0,0,1,0,1
0000000072.bmp,12,0,6,0,0,0,1,0,1
0000000073.bmp,13,0,1,0,0,0,1,0,1
0000000074.bmp,13,0,2,0,0,0,1,0,1
0000000075.bmp,13,0,3,0,0,0,1,0,1
0000000076.bmp,13,0,4,0,0,0,1,0,1
0000000077.bmp,13,0,5,0,0,0,1,0,1
0000000078.bmp,13,0,6,0,0,0,1,0,1
0000000079.bmp,14,0,1,0,0,0,1,0,1
0000000080.bmp,14,0,2,0,0,0,1,0,1
0000000081.bmp,14,0,3,0,0,0,1,0,1
0000000082.bmp,14,0,4,0,0,0,1,0,1
0000000083.bmp,14,0,5,0,0,0,1,0,1
0000000084.bmp,14,0,6,0,0,0,1,0,1
0000000085.bmp,15,0,1,0,0,0,1,0,1
0000000086.bmp,15,0,2,0,0,0,1,0,1
0000000087.bmp,15,0,3,0,0,0,1,0,1
0000000088.bmp,15,0,4,0,0,0,1,0,1
0000000089.bmp,15,0,5,0,0,0,1,0,1
0000000090.bmp,15,0,6,0,0,0,1,0,1
0000000091.bmp,16,0,1,0,0,0,1,0,1
0000000092.bmp,16,0,2,0,0,0,1,0,1
0000000093.bmp,16,0,3,0,0,0,1,0,1
0000000094.bmp,16,0,4,0,0,0,1,0,1
0000000095.bmp,16,0,5,0,0,0,1,0,1
0000000096.bmp,16,0,6,0,0,0,1,0,1
0000000097.bmp,17,0,1,0,0,0,1,0,1
0000000098.bmp,17,0,2,0,0,0,1,0,1
0000000099.bmp,17,0,3,0,0,0,1,0,1
0000000100.bmp,17,0,4,0,0,0,1,0,1
0000000101.bmp,17,0,5,0,0,0,1,0,1
0000000102.bmp,17,0,6,0,0,0,1,0,1
0000000103.bmp,18,0,1,0,0,0,1,0,1
0000000104.bmp,18,0,2,0,0,0,1,0,1
0000000105.bmp,18,0,3,0,0,0,1,0,1
0000000106.bmp,18,0,4,0,0,0,1,0,1
0000000107.bmp,18,0,5,0,0,0,1,0,1
0000000108.bmp,18,0,6,0,0,0,1,0,1
0000000109.bmp,19,0,1,0,0,0,1,0,1
0000000110.bmp,19,0,2,0,0,0,1,0,1
0000000111.bmp,19,0,3,0,0,0,1,0,1
0000000112.bmp,19,0,4,0,0,0,1,0,1
0000000113.bmp,19,0,5,0,0,0,1,0,1
0000000114.bmp,19,0,6,0,0,0,1,0,1
0000000115.bmp,20,0,1,0,0,0,1,0,1
0000000116.bmp,20,0,2,0,0,0,1,0,1
0000000117.bmp,20,0,3,0,0,0,1,0,1
0000000118.bmp,20,0,4,0,0,0,1,0,1
0000000119.bmp,20,0,5,0,0,0,1,0,1
0000000120.bmp,20,0,6,0,0,0,1,0,1
0000000121.bmp,21,0,1,0,0,0,1,0,1
0000000122.bmp,21,0,2,0,0,0,1,0,1
0000000123.bmp,21,0,3,0,0,0,1,0,1
0000000124.bmp,21,0,4,0,0,0,1,0,1
0000000125.bmp,21,0,5,0,0,0,1,0,1
0000000126.bmp,21,0,6,0,0,0,1,0,1
0000000127.bmp,22,0,1,0,0,0,1,0,1
0000000128.bmp,22,0,2,0,0,0,1,0,1
0000000129.bmp,22,0,3,0,0,0,1,0,1
0000000130.bmp,22,0,4,0,0,0,1,0,1
0000000131.bmp,22,0,5,0,0,0,1,0,1
0000000132.bmp,22,0,6,0,0,0,1,0,1
0000000133.bmp,23,0,1,0,0,0,1,0,1
0000000134.bmp,23,0,2,0,0,0,1,0,1
0000000135.bmp,23,0,3,0,0,0,1,0,1
0000000136.bmp,23,0,4,0,0,0,1,0,1
0000000137.bmp,23,0,5,0,0,0,1,0,1
0000000138.bmp,23,0,6,0,0,0,1,0,1
0000000139.bmp,24,0,1,0,0,0,1,0,1
0000000140.bmp,24,0,2,0,0,0,1,0,1
0000000141.bmp,24,0,3,0,0,0,1,0,1
0000000142.bmp,24,0,4,0,0,0,1,0,1
0000000143.bmp,24,0,5,0,0,0,1,0,1
0000000144.bmp,24,0,6,0,0,0,1,0,1
0000000145.bmp,25,0,1,0,0,0,1,0,1
0000000146.bmp,25,0,2,0,0,0,1,0,1
0000000147.bmp,25,0,3,0,0,0,1,0,1
0000000148.bmp,25,0,4,0,0,0,1,0,1
0000000149.bmp,25,0,5,0,0,0,1,0,1
0000000150.bmp,25,0,6,0,0,0,1,0,1
0000000151.bmp,26,0,1,0,0,0,1,0,1
0000000152.bmp,26,0,2,0,0,0,1,0,1
0000000153.bmp,26,0,3,0,0,0,1,0,1
0000000154.bmp,26,0,4,0,0,0,1,0,1
0000000155.bmp,26,0,5,0,0,0,1,0,1
0000000156.bmp,26,0,6,0,0,0,1,0,1
0000000157.bmp,27,0,1,0,0,0,1,0,1
0000000158.bmp,27,0,2,0,0,0,1,0,1
0000000159.bmp,27,0,3,0,0,0,1,0,1
